bill_id,Date,Ref. No.,Party's Name,Amount,tax,tax_amount,base_amount,tds,amount_after_tds,payment_id,Due on,Overdue
175,13-Apr-2018,1709000012,BUSSAN AUTO FINANCE INDIA PVT LTD FINANCE DEL,2364.45,,,,,,,13-Apr-2018,31
176,13-Apr-2018,1709000014,BUSSAN AUTO FINANCE INDIA PVT LTD HR DEL,1132.8,,,,,,,13-Apr-2018,31
177,13-Apr-2018,1709000016,BUSSAN AUTO FINANCE INDIA PVT LTD OPERATIONS DEL,543.74,,,,,,,13-Apr-2018,31
178,13-Apr-2018,1709000019,BUSSAN AUTO FINANCE INDIA PVT LTD OPS 3W DEL,101.96,,,,,,,13-Apr-2018,31
179,13-Apr-2018,1709000005,BUSSAN AUTO FINANCE INDIA PVT LTD OPS DEL,495141.75,,,,,,,13-Apr-2018,31
180,13-Apr-2018,1709000007,BUSSAN AUTO FINANCE INDIA PVT LTD OPS PL DEL,4599.13,,,,,,,13-Apr-2018,31
181,13-Apr-2018,1709000011,The Bussan Auto Finance India Pvt.Ltd-DEL,30525.4,,,,,,,13-Apr-2018,31
182,16-Apr-2018,1709000008,BUSSAN AUTO FINANCE INDIA PVT LTD ACCOUNTS DEL,5324.16,,,,,,,16-Apr-2018,28
183,16-Apr-2018,1709000013,BUSSAN AUTO FINANCE INDIA PVT LTD HR DEL,47.2,,,,,,,16-Apr-2018,28
184,16-Apr-2018,1709000015,BUSSAN AUTO FINANCE INDIA PVT LTD OPERATIONS DEL,365.8,,,,,,,16-Apr-2018,28
185,16-Apr-2018,1709000018,BUSSAN AUTO FINANCE INDIA PVT LTD OPS 3W DEL,1293.28,,,,,,,16-Apr-2018,28
186,16-Apr-2018,1709000004,BUSSAN AUTO FINANCE INDIA PVT LTD OPS DEL,106507.98,,,,,,,16-Apr-2018,28
187,16-Apr-2018,1709000006,BUSSAN AUTO FINANCE INDIA PVT LTD OPS PL DEL,2500.42,,,,,,,16-Apr-2018,28
188,16-Apr-2018,1709000010,The Bussan Auto Finance India Pvt.Ltd-DEL,4112.3,,,,,,,16-Apr-2018,28
189,19-Apr-2018,020418/D/2051,BUSSAN AUTO FINANCE INDIA PVT LTD OPS SPDC DEL,4494.03,,,,,,,19-Apr-2018,25
